simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100

tick,agent,score,energy,location,target
236.0,2,18,273,[4, 45],[7, 47]
236.0,1,22,273,[74, 18],[75, 17]
237.0,1,22,271,[76, 17],[77, 18]
237.0,2,18,271,[6, 46],[7, 47]
238.0,1,22,271,[76, 17],[77, 18]
238.0,2,18,271,[6, 46],[7, 47]
239.0,1,22,269,[77, 19],[74, 22]
239.0,2,18,269,[7, 48],[8, 0]
240.0,1,22,269,[77, 19],[74, 22]
240.0,2,18,269,[7, 48],[8, 0]
241.0,2,18,267,[8, 0],null
241.0,1,22,267,[75, 21],[74, 22]
242.0,2,18,266,[7, 1],[5, 3]
242.0,1,22,266,[74, 22],null
243.0,2,18,266,[7, 1],[5, 3]
243.0,1,22,266,[74, 22],null
244.0,1,22,264,[76, 20],null
244.0,2,18,264,[5, 3],null
245.0,2,18,264,[5, 3],null
245.0,1,22,264,[76, 20],null
246.0,2,18,262,[6, 5],null
246.0,1,22,262,[78, 22],[80, 24]
247.0,1,22,262,[78, 22],[80, 24]
247.0,2,18,262,[6, 5],null
248.0,1,22,260,[80, 24],null
248.0,2,18,260,[8, 5],[10, 4]
249.0,1,22,259,[79, 24],[77, 22]
249.0,2,18,259,[9, 5],[10, 4]
250.0,1,22,259,[79, 24],[77, 22]
250.0,2,18,259,[9, 5],[10, 4]
251.0,1,22,257,[77, 22],null
251.0,2,18,257,[9, 4],[6, 5]
252.0,2,18,257,[9, 4],[6, 5]
252.0,1,22,257,[77, 22],null
253.0,2,18,256,[8, 4],[6, 5]
253.0,1,22,256,[76, 22],[73, 20]
254.0,2,18,254,[6, 5],null
254.0,1,22,254,[74, 21],[73, 20]
255.0,2,18,253,[6, 6],[6, 8]
255.0,1,22,253,[73, 20],null
256.0,1,22,253,[73, 20],null
256.0,2,18,253,[6, 6],[6, 8]
257.0,1,22,251,[75, 20],[77, 22]
257.0,2,18,251,[6, 8],null
258.0,1,22,251,[75, 20],[77, 22]
258.0,2,18,251,[6, 8],null
259.0,2,18,249,[7, 10],[9, 12]
259.0,1,22,249,[77, 22],null
260.0,2,18,248,[8, 11],[9, 12]
260.0,1,22,248,[77, 21],null
261.0,1,22,247,[78, 21],null
261.0,2,18,247,[9, 12],null
262.0,1,22,247,[78, 21],null
262.0,2,18,247,[9, 12],null
263.0,2,18,245,[7, 14],null
263.0,1,22,245,[76, 21],[74, 22]
264.0,1,22,244,[75, 21],[74, 22]
264.0,2,18,244,[7, 15],[10, 18]
265.0,1,22,243,[74, 22],null
265.0,2,18,243,[8, 16],[10, 18]
266.0,1,22,242,[75, 22],[78, 21]
266.0,2,18,242,[9, 17],[10, 18]
267.0,1,22,242,[75, 22],[78, 21]
267.0,2,18,242,[9, 17],[10, 18]
268.0,2,18,241,[10, 18],null
268.0,1,22,241,[76, 22],[78, 21]
269.0,2,18,239,[11, 16],[12, 15]
269.0,1,22,239,[78, 21],null
270.0,1,22,239,[78, 21],null
270.0,2,18,239,[11, 16],[12, 15]
271.0,1,22,237,[78, 21],[80, 20]
271.0,2,18,237,[12, 14],[13, 13]
272.0,2,18,237,[12, 14],[13, 13]
272.0,1,22,237,[78, 21],[80, 20]
273.0,2,18,235,[14, 13],[16, 12]
273.0,1,22,235,[80, 20],null
274.0,2,18,235,[14, 13],[16, 12]
274.0,1,22,235,[80, 20],null
275.0,1,22,234,[79, 20],[77, 20]
275.0,2,18,234,[15, 13],[16, 12]
276.0,1,22,232,[77, 20],null
276.0,2,18,232,[15, 12],[14, 13]
277.0,2,18,232,[15, 12],[14, 13]
277.0,1,22,232,[77, 20],null
278.0,1,22,231,[78, 20],[81, 22]
278.0,2,18,231,[14, 13],null
279.0,2,18,229,[12, 12],[10, 10]
279.0,1,22,229,[80, 21],[81, 22]
280.0,1,22,229,[80, 21],[81, 22]
280.0,2,18,229,[12, 12],[10, 10]
281.0,2,18,228,[11, 11],[10, 10]
281.0,1,22,228,[81, 22],null
282.0,1,22,226,[79, 22],[77, 21]
282.0,2,18,226,[9, 11],[8, 12]
283.0,1,22,226,[79, 22],[77, 21]
283.0,2,18,226,[9, 11],[8, 12]
284.0,1,22,225,[78, 22],[77, 21]
284.0,2,18,225,[8, 12],null
285.0,2,18,223,[8, 14],[9, 16]
285.0,1,22,223,[77, 22],[75, 24]
286.0,1,22,222,[76, 23],[75, 24]
286.0,2,18,222,[8, 15],[9, 16]
287.0,1,22,221,[75, 24],null
287.0,2,18,221,[9, 16],null
288.0,1,22,221,[75, 24],null
288.0,2,18,221,[9, 16],null
289.0,2,18,219,[10, 18],null
289.0,1,22,219,[73, 26],[72, 27]
290.0,1,22,218,[72, 27],null
290.0,2,18,218,[9, 18],[7, 16]
291.0,1,22,217,[71, 27],[69, 26]
291.0,2,18,217,[8, 17],[7, 16]
292.0,2,18,216,[7, 16],null
292.0,1,22,216,[70, 27],[69, 26]
293.0,2,18,215,[7, 17],[7, 20]
293.0,1,22,215,[69, 26],null
294.0,1,22,215,[69, 26],null
294.0,2,18,215,[7, 17],[7, 20]
295.0,2,18,214,[7, 18],[7, 20]
295.0,1,22,215,[69, 26],null
296.0,1,22,214,[70, 26],[72, 24]
296.0,2,18,213,[7, 19],[7, 20]
297.0,2,18,211,[7, 19],[7, 18]
297.0,1,22,212,[72, 24],null
298.0,2,18,211,[7, 19],[7, 18]
298.0,1,22,212,[72, 24],null
299.0,2,18,209,[7, 19],[7, 22]
299.0,1,22,210,[72, 22],[71, 20]
300.0,1,22,209,[72, 21],[71, 20]
300.0,2,18,208,[7, 20],[7, 22]
301.0,1,22,208,[71, 20],null
301.0,2,18,207,[7, 21],[7, 22]
302.0,1,22,207,[70, 20],[67, 23]
302.0,2,18,206,[7, 22],null
303.0,2,18,206,[7, 22],null
303.0,1,22,207,[70, 20],[67, 23]
304.0,1,22,205,[68, 22],[67, 23]
304.0,2,18,204,[6, 24],[5, 25]
305.0,2,18,204,[6, 24],[5, 25]
305.0,1,22,205,[68, 22],[67, 23]
306.0,1,22,204,[67, 23],null
306.0,2,18,203,[5, 25],null
307.0,2,20,202,[4, 24],[1, 21]
307.0,1,22,202,[65, 23],[64, 23]
308.0,1,22,201,[64, 23],null
308.0,2,20,201,[3, 23],[1, 21]
309.0,1,22,200,[63, 24],null
309.0,2,20,200,[2, 22],[1, 21]
310.0,2,20,199,[1, 21],null
310.0,1,22,199,[62, 24],[59, 27]
311.0,2,20,199,[1, 21],null
311.0,1,22,199,[62, 24],[59, 27]
312.0,2,20,197,[3, 22],[5, 24]
312.0,1,22,197,[60, 26],[59, 27]
313.0,2,20,197,[3, 22],[5, 24]
313.0,1,22,197,[60, 26],[59, 27]
314.0,1,22,195,[59, 26],[61, 24]
314.0,2,20,195,[5, 24],null
315.0,1,22,194,[60, 25],[61, 24]
315.0,2,20,194,[6, 24],[9, 23]
316.0,1,22,193,[61, 24],null
316.0,2,20,193,[7, 24],[9, 23]
317.0,2,20,192,[8, 24],[9, 23]
317.0,1,22,192,[62, 24],[63, 23]
318.0,2,20,191,[9, 23],null
318.0,1,22,191,[63, 23],null
319.0,1,22,190,[63, 22],[63, 20]
319.0,2,20,190,[8, 23],[5, 26]
